행정동,노르웨이,독일,미국,싱가폴,영국,오스트레일리아,이탈리아,일본,중국,프랑스,총합계
거제면,0,0,769,0,0,0,0,0,0,0,769
고현동,10483,0,47600,67744,0,0,0,8014,298188,18853,450881
능포동,0,0,0,0,56396,0,0,0,0,0,56396
사등면,0,0,0,0,0,0,0,0,169468,0,169468
상문동,0,0,7728,0,0,3441,0,0,0,0,11169
수양동,0,0,6296,0,0,5849,0,0,0,112994,125139
아주동,1550,0,51608,16133,17219,45814,2040,0,16951,0,151314
연초면,10074,0,6607,0,0,0,0,0,0,17609,34290
옥포1동,639560,220460,2691085,238487,527574,754502,271800,569724,10401,194141,6117736
옥포2동,111467,1721,211776,22126,210223,855,0,140976,0,19,699163
일운면,21213,1192199,308113,0,7499,0,0,0,0,1419,1530443
장목면,0,0,1968,0,0,0,0,0,0,0,1968
장승포동,0,0,47808,32226,0,0,0,0,133190,0,213225
장평동,329714,294,3071479,208516,511342,206387,391,618344,229716,264529,5440712
하청면,0,0,0,0,0,0,0,0,0,11671,11671
둔덕면,0,0,0,0,0,0,0,0,0,0,0
남부면,0,0,0,0,0,0,0,0,0,0,0
동부면,0,0,0,0,0,0,0,0,0,0,0
총합계,1124062,1414674,6452837,585233,1330253,1016847,274231,1337058,857915,621235,15014345
